id,title,description,min_level,section,image,section_image
1,What pytest Is and Why It Replaced unittest,Plain assert statements and automatic test discovery instead of boilerplate test classes.,1,Foundations,unit1.png,
2,Installing pytest and Running Your First Test,Getting pytest installed and invoking it from the command line.,1,Foundations,unit2.png,
3,Test Discovery Conventions,The file and function naming pytest relies on to find tests with zero registration.,1,Foundations,unit3.png,
4,Writing Assertions with Plain assert,Using Python's own assert keyword instead of self.assertEqual-style methods.,1,Foundations,unit4.png,
5,Assertion Rewriting and Failure Messages,"How pytest shows the actual values involved in a failed assertion, not just a bare failure.",2,Fixtures,unit5.png,
6,Fixtures Fundamentals,Declaring reusable setup with @pytest.fixture and injecting it by parameter name.,2,Fixtures,unit6.png,
7,Fixture Scopes,"Function, class, module, and session scope, and the speed vs. isolation tradeoff each makes.",2,Fixtures,unit7.png,
8,conftest.py and Fixture Sharing,Making a fixture visible to every test file in a directory without importing it.,2,Fixtures,unit8.png,
9,"Built-in Fixtures: tmp_path, capsys, monkeypatch","The most-used fixtures pytest ships for free, with no setup required.",2,Fixtures,unit9.png,
10,Yield Fixtures and Teardown,Splitting setup from cleanup in one fixture function using yield.,2,Fixtures,unit10.png,
11,Parametrizing Tests,Running one test function across many input and expected-output rows with @pytest.mark.parametrize.,3,Parametrize & Markers,unit11.png,
12,Parametrizing Fixtures,"Varying a fixture itself across cases, instead of just the test function's arguments.",3,Parametrize & Markers,unit12.png,
13,"Marking Tests: skip, skipif, xfail","Conditionally skipping a test or expecting it to fail, without deleting it.",3,Parametrize & Markers,unit13.png,
14,Custom Markers and Registration,Tagging tests with your own markers and catching typos with --strict-markers.,3,Parametrize & Markers,unit14.png,
15,Testing Exceptions with pytest.raises,"Asserting that code raises a specific exception, and on what message.",3,Parametrize & Markers,unit15.png,
16,Testing Warnings with pytest.warns,"The warnings equivalent of pytest.raises, for code that should warn instead of fail.",3,Parametrize & Markers,unit16.png,
17,Mocking with pytest-mock,Using the mocker fixture to patch a dependency instead of raw unittest.mock.,4,Plugins & Tooling,unit17.png,
18,Measuring Coverage with pytest-cov,Running pytest with --cov and reading what a coverage percentage actually tells you.,4,Plugins & Tooling,unit18.png,
19,Running Tests in Parallel with pytest-xdist,"Using -n auto to split a suite across workers, and when that hides shared-state bugs.",4,Plugins & Tooling,unit19.png,
20,Configuring pytest: pyproject.toml and ini Options,"Centralizing test paths, markers, and CLI options in one config section.",4,Plugins & Tooling,unit20.png,
21,Organizing a Test Suite: src Layout,Why a separate tests directory next to src avoids import ambiguity.,4,Plugins & Tooling,unit21.png,
22,"Debugging Failing Tests: -v, -x, -k, --pdb",The CLI flags for narrowing down a failure and stepping into it.,4,Plugins & Tooling,unit22.png,
23,Common pytest Anti-Patterns and Best Practices,"Over-broad fixtures, testing implementation instead of behavior, and fixture scope misuse.",4,Plugins & Tooling,unit23.png,
