id,unit_id,type,role,related_main_id,prompt,options,correct_index,image,audio,explanation
1,1,multiple_choice,main,,pytest tests are written as:,Functions|Classes only|Modules,0,,,"`def test_addition():`
    assert 2 + 2 == 4  # a plain function is enough, no class needed"
2,1,true_false,preview,1,pytest tests can be plain functions.,,true,,,"Yes, that's right; pytest is very flexible and doesn't require you to wrap your tests in classes or methods. It just needs the function to be discoverable by the test runner."
3,1,true_false,exercise,1,Tests must be class methods.,,true,,,The old-school approach requires subclassing a base test case class.
4,1,true_false,exercise,1,pytest functions don't need self.,,true,,,Plain functions have no self parameter — that's only for class methods.
5,1,select_blank,exercise,1,"pytest tests are plain ___, not classes.",functions|modules|classes,0,,,"They are plain functions because pytest is designed to keep things simple, allowing you to write tests without the overhead of defining full classes."
6,1,true_false,exercise,1,You must subclass TestCase for pytest.,,false,,,That's the standard framework requirement pytest was built to remove.
7,1,multiple_choice,exercise,1,Tests live inside a:,Class|Function|File,0,,,The old-school class-based testing style requires your test methods to live inside a dedicated test class that inherits from a base test-case class.
8,1,match_pairs,exercise,1,Match framework to its test unit.,pytest↔function|class tests,,,,"Pytest favors simple functions, while other frameworks require defining tests inside classes."
9,1,multiple_choice,main,,pytest checks results using:,assert|assertEqual|checkThat,0,,,"assert result == 4  # instead of `self.assertEqual(result, 4)`"
10,1,true_false,preview,9,pytest uses Python's assert keyword.,,true,,,"Correct; instead of requiring its own assertion methods (like `assertEqual`), pytest simply runs the built-in `assert` statement, making your code feel more like regular Python logic."
11,1,true_false,exercise,9,Does the standard test library use specialized check methods?,,true,,,The standard testing framework needs its own methods like assertEqual instead of plain assert.
12,1,multiple_choice,exercise,9,Which keyword does pytest use to check?,assert|assertEqual|verify,0,,,Pytest uses the built-in Python keyword `assert`. Other testing frameworks use specialized methods like `assertEqual`.
13,1,true_false,exercise,9,pytest needs special assert methods.,,false,,,Plain assert is all pytest needs — no special methods to memorize.
14,1,select_blank,exercise,9,pytest replaces assertEqual with plain ___.,assert|print|self,0,,,"Pytest simplifies testing by allowing you to use Python's native `assert` statement directly, eliminating the need for specialized methods like `assertEqual`."
15,1,true_false,exercise,9,assert is a built-in Python keyword.,,true,,,pytest doesn't invent assert — it just reads more into your existing assert statements.
16,1,multiple_choice,exercise,9,Which tool uses this assertion?,Built-in testing|Another framework|Package installer,0,,,"This specific method is part of Python's built-in testing library, which requires using methods attached to a test class instance (`self`)."
17,2,multiple_choice,main,,You install pytest using:,pip|npm|apt,0,,,`pip install` pytest — the standard way to add pytest to a Python environment.
18,2,true_false,preview,17,`pip install` pytest installs pytest.,,true,,,"This is correct because `pip` is Python's package installer, and running this command downloads and sets up the pytest library for use in your environment."
19,2,true_false,exercise,17,pytest installs via pip.,,true,,,pip is Python's package installer
20,2,select_blank,exercise,17,Run pip ___ pytest to add it.,install|remove|list,0,,,"To make any external library available, you must use `pip install` followed by the package name; 'install' is the action verb here."
21,2,code_fill,exercise,17,Complete the install command.,pip ___ pytest|install,,,,You need to use 'install' because that word tells Python’s package manager (pip) exactly what action you want it to perform on the specified library.
22,2,multiple_choice,exercise,17,pytest is installed as a:,Package|Compiler|OS,0,,,"Pytest is a testing framework, which means it's distributed and installed as a standard software package using pip, not compiled into your operating system."
23,2,true_false,exercise,17,You need Python installed first.,,true,,,pytest is a Python library — it needs Python already on the machine.
24,2,true_false,exercise,17,pytest works without Python.,,false,,,pytest is written in Python and runs on top of it.
25,2,multiple_choice,main,,Which command runs your tests?,pytest|python test|run test,0,,,"Typing pytest alone in your terminal finds and runs every test file it can discover, e.g. $ pytest"
26,2,true_false,preview,25,Typing pytest runs your tests.,,true,,,That’s correct; running the `pytest` command in your terminal is the specific action that executes all the test functions defined within your project files.
27,2,short_answer,exercise,25,What command runs pytest tests?,pytest,,,,The simple command you need to type into your system's terminal or command prompt is just pytest.
28,2,true_false,exercise,25,pytest runs from the terminal.,,true,,,You type it into your command line
29,2,multiple_choice,exercise,25,Where do you type pytest?,Terminal|Browser|Editor menu,0,,,"Since `pytest` is a command-line utility, it must be run in the Terminal (or Command Prompt), which is where you issue all system commands."
30,2,order,exercise,25,Order the basic first-test workflow.,Install pytest|Write a test function|Run pytest,,,,"The workflow must follow a logical progression: first you install the tool, then you write your test code, and finally, you run pytest to execute those tests."
31,2,select_blank,exercise,25,Typing pytest ___ your test files.,runs|deletes|edits,0,,,"Pytest is designed as a testing framework, so its primary function is to automatically discover and run the tests written in your files. It does not edit or delete them."
32,2,true_false,exercise,25,pytest needs no config to run.,,true,,,Just typing pytest works out of the box
33,3,multiple_choice,main,,pytest finds test files starting with:,test_|check_|run_,0,,,A file like `test_math.py` or `math_test.py` is auto-discovered — no registration needed.
34,3,true_false,preview,33,Files named `test_math.py` are auto-found.,,true,,,"Yes, pytest has excellent auto-discovery capabilities; it will find test files simply by looking for specific naming patterns without you having to specify every single file path."
35,3,true_false,exercise,33,`math_test.py` also counts as a test file.,,true,,,pytest accepts either the test_ prefix or the `_test.py` suffix.
36,3,true_false,exercise,33,You must register test files manually.,,false,,,Naming alone is enough — no list
37,3,multiple_choice,exercise,33,A valid pytest file ending is:,`_test.py`|`_check.py`|`_spec.py`,0,,,The standard convention that pytest reliably uses is either a file ending in `_test.py` or being named `test_*.py`. Using this pattern ensures the framework finds your tests automatically.
38,3,true_false,exercise,33,`utils.py` is auto-discovered as a test.,,false,,,It doesn't start with test_ or end in `_test.py`
39,3,select_blank,exercise,33,Test files start or end with ___.,test|main|util,0,,,"To ensure pytest can find them, both the test files and the functions within those files should use a `test` prefix. This consistent naming convention is key to discovery."
40,3,categorize,exercise,33,Sort each filename by discovery.,test_math.py↔Discovered|math_test.py↔Discovered|utils.py↔Not discovered|helpers.py↔Not discovered,,,,"Files that adhere to standard testing conventions, particularly those prefixed with 'test_', are considered discovered test files. Generic utility names like utils or helpers usually aren't flagged unless they contain specific tests."
41,3,multiple_choice,main,,pytest discovers functions named:,test_*|check_*|run_*,0,,,"def test_login(): is picked up automatically; def check_login() is not, no matter the file it's in."
42,3,true_false,preview,41,Functions named test_login are discovered.,,true,,,"Yes, any function starting with 'test_' is automatically recognized by the testing framework as a valid test case and thus considered discovered."
43,3,true_false,exercise,41,`check_login()` is auto-discovered by pytest.,,false,,,It doesn't start with test_
